id;titulo;autores;ano;veiculo;tipo_veiculo;doi;base_origem;fase;decisao;criterio;generativo;observacao
R002;Intelligent Practices of Large Language Models in Digital Government Services;Han, Jiawei and Lu, Jiankang and Xu, Ying and You, Jin and Wu, Bingxin;2024;IEEE Access;periodico;10.1109/ACCESS.2024.3349969;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Serviços de governo digital (China, Pequim). Vertente engenharia/pipeline. Modelo GCALLM (ChatGLM, P-tuning).
R003;ChatGPT Application vis-a-vis Open Government Data (OGD): Capabilities, Public Values, Issues and a Research Agenda;Loukis, Euripidis and Saxena, Stuti and Rizun, Nina and Maratsi, Maria Ioanna and Ali, Mohsan and Alexopoulos, Charalampos;2023;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);conferencia;10.1007/978-3-031-41138-0_7;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Agenda ChatGPT versus OGD, perspectiva ética/inclusão (Europa). Estudo conceitual.
R004;Fiscal Management and Artificial Intelligence as Strategies to Combat Corruption in Colombia;Monsalvo, Ana E. and Zuluaga-Pardo, Carlos M. and Restrepo-Carmona, Jaime A. and Aguilera-Pua, Lilibeth and Castaño, Juan C. and Borda, Edison F. and Villamil, Rosse M. and García, Hernán Felipe and Fletscher, Luis;2025;Information (Switzerland);periodico;10.3390/info16110998;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Gestão fiscal e anticorrupção (Colômbia). Vertente IA+Direito / acesso. Caso-limite confirmado na leitura integral.
R005;Talk to Open Data: Enabling User Interaction with Open Government Data Using LLMs, RAG and Smart Agent Technologies;Ali, Mohsan and Maratsi, Maria Ioanna and Lachana, Zoi and Charalabidis, Yannis and Alexopoulos, Charalampos and Loukis, Euripidis;2026;Lecture Notes in Business Information Processing;conferencia;10.1007/978-3-032-18487-0_2;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível, sem acesso aberto. Não é exclusão por critério de conteúdo. Interação com OGD via LLM/RAG/agentes (Grécia).
R006;Implementation of RAG-LLM Based AI Agents for Public Service Innovation: RAG System Architecture Analysis and A Cross-National Case Study;Ryu, Jeesun and Woo, Yoonseuk and Lee, Kyeongghyun;2025;2025 IEEE/ACIS 29th International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD);conferencia;10.1109/SNPD65828.2025.11252835;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Análise arquitetural e estudo de casos transnacional (Estônia, Singapura, UE) de agentes RAG-LLM. Estudo conceitual (sem avaliação empírica própria). Modelo não implementado pelos autores (GPT-4 citado como gerador exemplar). Estudo #31 na tabela consolidada.
R007;Hybrid Multi-Agent GraphRAG for E-Government: Towards a Trustworthy AI Assistant;Papageorgiou, George and Sarlis, Vangelis and Maragoudakis, Manolis and Tjortjis, Christos;2025;Applied Sciences (Switzerland);periodico;10.3390/app15116315;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Assistente multi-agente GraphRAG para e-gov (União Europeia). Vertente engenharia.
R008;TNGov-GPT: Pioneering Conversational AI Chat through Tamil Nadu Government Insights and Transformer Innovations;Kumar, P. and Rhikshitha, K. and Sanjay, A. and Samitha, S.;2024;2024 Second International Conference on Advances in Information Technology (ICAIT);conferencia;10.1109/ICAIT61638.2024.10690724;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Chatbot para dados de governo indiano (Tamil Nadu), pseudocódigo baseado em GPT-2 (pesos abertos). Sem avaliação empírica real (Fig. 5 é projeção genérica). QA baixo. Estudo #32 na tabela consolidada.
R009;Integrating Knowledge Graphs, Large Language Models and Explainable AI Techniques to Improve Public Health Question Answering;Giarelis, Nikolaos and Mastrokostas, Charalampos and Siachos, Ilias and Karacapilidis, Nikos;2026;Lecture Notes in Computer Science (Electronic Government, EGOV 2025);conferencia;10.1007/978-3-032-01589-1_23;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Assistente de QA de saúde pública (Grécia) integrando KG + Llama-3.1-8B (pesos abertos) + XAI. Avaliação preliminar qualitativa (5 especialistas médicos, 25 questões). Estudo #33 na tabela consolidada.
R010;Using AI in providing greater access to the U.S. government’s email: a progress report;Baron, Jason R.;2025;AI & Society;periodico;10.1007/s00146-025-02256-3;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;excluido;full-text: sem evidência primária independente de GenAI;sim;Recuperado na rodada adicional de full-text (revisão iSys) e excluído após leitura integral. O componente de IA Generativa (ChatGPT-3.5) sintetiza o experimento já publicado em Baron et al. 2023 (R012, no corpus): mesmo contexto FOIA/coleção Clinton, sem novo dataset, amostra, experimento ou resultado empírico ("No datasets were generated or analysed"). Não constitui novo estudo primário independente, e sua inclusão junto a R012 duplicaria a mesma evidência. Não é CE4/CE5.
R011;Automating Government Response to Citizens' Questions: A Large Language Model-Based Question-Answering Guidance Generation System;Fang, Keyuan and Xu, Kewei;2023;2023 3rd International Conference on Digital Society and Intelligent Systems (DSInS);conferencia;10.1109/DSInS60115.2023.10455136;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Gera respostas de referência para servidores públicos (human-in-the-loop, lado da oferta) a partir de painéis de mensagens governamentais (China). Qwen (pesos abertos) + BERT. Estudo #34 na tabela consolidada.
R012;Using ChatGPT for the FOIA Exemption 5 Deliberative Process Privilege;Baron, Jason R. and Rollings, Nathaniel W. and Oard, Douglas W.;2023;CEUR Workshop Proceedings (LegalAIIA 2023), vol. 3423;workshop;não disponível no registro consolidado (CEUR-WS vol. 3423, sem DOI);Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. FOIA e privilégio de processo deliberativo (EUA). Vertente IA+Direito / acesso. Referência primária de Baron et al. 2023 (ver R010).
R013;An LLM-assisted ETL pipeline to build a high-quality knowledge graph of the Italian legislation;Colombo, Andrea and Bernasconi, Anna and Ceri, Stefano;2025;Information Processing and Management;periodico;10.1016/j.ipm.2025.104082;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Pipeline ETL assistido por LLM para grafo de conhecimento da legislação italiana. Vertente IA+Direito (Mistral, estruturação/ETL). Caso-limite.
R014;Trisurya: A Local Language-Powered Omnichannel Chatbot as a Solution for the Enhancement of E-Govemment Quality and Accessibility of Public Services in Indonesia;Kusuma, Arya Raditya and Wongso, Carleano Ravelza and Aldrich, Darren and Darari, Fariz;2024;não disponível no registro consolidado (relato não recuperado);não disponível;10.1109/ICIMCIS63449.2024.10956359;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Chatbot omnichannel multilíngue para e-gov (Indonésia).
R015;Can Large Language Models Revolutionalize Open Government Data Portals? A Case of Using ChatGPT in statistics.gov.scot;Mamalis, Marios Evangelos and Kalampokis, Evangelos and Karamanou, Areti and Brimos, Petros and Tarabanis, Konstantinos;2024;Proceedings of the 27th Pan-Hellenic Conference on Progress in Computing and Informatics (PCI);conferencia;10.1145/3635059.3635068;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Uso de ChatGPT em portal OGD (statistics.gov.scot, Escócia/Reino Unido). Vertente engenharia/descoberta. Ano corrigido de 2023 para 2024 conforme bibliografia validada (Mamalis et al. 2024) e DOI.
R016;Designing a Large Language Model Based Open Data Assistant for Effective Use;Schelhorn, Till Carlo and Gnewuch, Ulrich and Maedche, Alexander;2024;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);conferencia;10.1007/978-3-031-61175-9_27;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Assistente de dados abertos baseado em LLM (DSR). Vertente IS/DSR. Relacionado a R023 (mesmos autores) na análise de versões (CE5).
R017;Trends and challenges of e-government chatbots: Advances in exploring open government data and citizen participation content;Cortés-Cediel, María E. and Segura-Tinoco, Andrés and Cantador, Iván and Rodríguez Bolívar, Manuel Pedro;2023;Government Information Quarterly;periodico;10.1016/j.giq.2023.101877;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Tendências e desafios de chatbots de e-gov e participação (Espanha/Europa). Caso-limite.
R018;Making PDFs Accessible for Visually Impaired Users (and Findable for Everybody Else);van Heusden, Ruben and Ling, Hazel and Nelissen, Lars and Marx, Maarten;2023;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);conferencia;10.1007/978-3-031-43849-3_21;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Acessibilidade de PDFs para pessoas com deficiência visual e encontrabilidade (Países Baixos). Vertente ética/inclusão.
R019;CivicMindAI: A Hybrid Deep Learning Approach for Municipal Service Delivery using RAG, KAG, CAG, AutoML, and Federated Learning;Shrinidhi, C. and Sharmistha, S. and Pandeeswaran, C.;2025;não disponível no registro consolidado (relato não recuperado);não disponível;10.1109/ICSSS66939.2025.11346324;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Abordagem híbrida (RAG/KAG/CAG) para entrega de serviços municipais. Caso-limite.
R020;How Do Gen-AI Tools Support Transparency and End-to-End Visibility in Government Organizations?;Souza, Wallace and Oliveira, Selma;2025;Lecture Notes in Networks and Systems;conferencia;10.1007/978-981-96-6124-4_12;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Ferramentas Gen-AI e transparência em organizações governamentais (Brasil). Caso-limite.
R021;Legal Assistance in Low-Resource Languages: Evaluating RAG and Fine-Tuned LLMs for Greek e-Governance;Tsourma, Maria and Michail, Dimitrios and Varlamis, Iraklis and Drosou, Anastasios and Tzovaras, Dimitrios;2025;2025 3rd International Conference on Foundation and Large Language Models (FLLM);conferencia;10.1109/FLLM67465.2025.11391043;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Agente conversacional de e-governança grega (MITOS + Diário Oficial) para servidores/negócios. Meltemi-7B (pesos abertos, RAG+LoRA). GPT-4 apenas como juiz/gerador de dataset sintético. Estudo #35 na tabela consolidada.
R022;Enriching Dataset Metadata with LLMs to Unlock Semantic Meaning;García-Montero, Patricio Santiago and Orellana, Marcos and Zambrano-Martinez, Jorge Luis;2026;Information and Communication Technologies (TICEC 2025), CCIS, Springer;conferencia;10.1007/978-3-032-08366-1_5;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Recuperado na rodada adicional de full-text (revisão iSys), incluído após leitura integral. Enriquecimento semântico de metadados de OGD (Portal de Dados Abertos do Equador, 16 datasets/279 colunas), comparando LLMs proprietários (Gemini, GPT-4.1-mini) e abertos (DeepSeek, Llama-4). Ano bibliográfico validado 2026 (capítulo Springer CCIS, evento TICEC 2025), pp. 63-77. Estudo #36 na tabela consolidada.
R023;Effective use of open data portals for social good: Design principles for explainable LLM-based open data assistants;Schelhorn, Till Carlo and Gnewuch, Ulrich and Maedche, Alexander;2026;Decision Support Systems;periodico;10.1016/j.dss.2026.114698;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Princípios de design para assistentes de dados abertos explicáveis baseados em LLM (DSR). Vertente IS/DSR. Relacionado a R016 (mesmos autores) na análise de versões (CE5).
R024;A Small Language Model and Domain-Specific Resources for Vietnamese Public Services;Le, Van Thai and Le, Anh-Cuong;2026;Lecture Notes in Computer Science;conferencia;10.1007/978-981-95-4960-3_2;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível, sem acesso aberto. Não é exclusão por critério de conteúdo. SLM e recursos de domínio para serviços públicos vietnamitas.
R025;Keywords Are Not Always the Key: A Metadata Field Analysis for Natural Language Search on Open Data Portals;Gan, Lisa-Yao and Das, Arunav and Walker, Johanna and Simperl, Elena;2026;Communications in Computer and Information Science;conferencia;10.1007/978-3-032-16451-3_26;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Análise de campos de metadados para busca em linguagem natural em portais OGD (Reino Unido). Vertente engenharia/descoberta. Caso-limite (consultas simuladas).
R026;Legal AI in Low-Resource Languages: Building and Evaluating QA Systems for the Kazakh Legislation;Rakhimova, Diana and Turarbek, Assem and Karyukin, Vladislav and Sarsenbayeva, Assiya and Alieyev, Rashid;2025;Computers;periodico;10.3390/computers14090354;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Sistemas de QA para a legislação cazaque, comparando 7 LLMs (proprietário + abertos). Vertente IA+Direito / baixo recurso. RQ3 múltiplos/comparativo.
R027;Application of large language model in intelligent Q&A of digital government;Gao, Shangsheng and Gao, Li and Li, Qi and Xu, Jianjun;2023;Proceedings of the 2023 2nd International Conference on Networks, Communications and Information Technology (CNCIT);conferencia;10.1145/3605801.3605806;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Q&A inteligente de governo digital (China). Vertente engenharia/pipeline. Veículo confirmado por verificação bibliográfica externa: CNCIT 2023 (2nd International Conference on Networks, Communications and Information Technology), DOI 10.1145/3605801.3605806. Entrada anterior da bib (ICBDIE) corrigida.
R028;Immigrants’ Perceptions Towards Using Generative AI Conversational Agents to Bridge Administrative Literacy;Crivellari, Ilaria and Rizk, Aya;2026;Lecture Notes in Computer Science;conferencia;10.1007/978-3-032-01589-1_9;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Percepções de imigrantes sobre agentes GenAI e literacia administrativa (Nórdicos). Vertente ética/inclusão.
R029;TAGIFY: LLM-powered Tagging Interface for Improved Data Findability on OGD portals;Kliimask, Kevin and Nikiforova, Anastasija;2024;2024 Fifth International Conference on Intelligent Data Science Technologies and Applications (IDSTA);conferencia;10.1109/IDSTA62194.2024.10746941;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Interface de tagging por LLM para encontrabilidade em portais OGD (Estônia). Vertente engenharia/descoberta.
R030;Citizens’ Perceptions of AI Government Chatbot Adoption;Alarabiat, Ayman and Alarabiat, Yousef and Al-Zuabi, Mahmoud and Shakatreh, Mamoun;2026;Lecture Notes in Networks and Systems;conferencia;10.1007/978-3-032-13419-6_1;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Percepções de cidadãos sobre adoção de chatbots governamentais.
R031;Samadhan AI: An LLM-Driven Chatbot for Grievance Lodging;Dhingra, Deepti and Rani, Kavita and Kundu, Kiran and Singla, Deepak and Kumar, Ish and Tyagi, Shweta;2025;Lecture Notes in Networks and Systems;conferencia;10.1007/978-3-031-95017-9_9;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível (paywall). Não é exclusão por critério de conteúdo. Identidade bibliográfica confirmada por título, autores e DOI. Chatbot LLM de registro de reclamações/grievance (Índia).
R032;An LLMs-based Multi-Agent Collaborative Framework for Intelligent Public Fund Allocation;Gong, Junqiao and Wang, Jiaxiao and Wang, Gang and Ma, Jian and Tam, Xuansong;2025;Proceedings of the 2025 International Conference on Generative Artificial Intelligence for Business (GAIB);conferencia;10.1145/3766918.3766943;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Framework multi-agente baseado em LLMs para alocação de fundos públicos (Ásia-Pacífico, China). Vertente engenharia. Modelo DeepSeek-v3.
R033;Why public procurement professionals accept (or resist) generative AI: a qualitative study;Tahtali, Mohammed Ali and Le Blanc, Pascale and Dirne, Corné and Snijders, Chris;2026;Journal of Public Procurement;periodico;10.1108/JOPP-09-2025-0110;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;excluido;CI1 (não atendido após full-text);sim;Recuperado na rodada adicional de full-text (revisão iSys) e excluído após leitura integral. Estudo primário revisado por pares (31 entrevistas, TAM/TTF/TOE), mas seu objeto é a aceitação/resistência de profissionais de compras públicas ao uso de GenAI, não a IA Generativa como mecanismo de acesso, organização ou mediação de informação do setor público. Não atende ao CI1. Não é por falta de peer review, CE4 ou CE5.
R034;Automatic Generation of Conversational Interfaces for Tabular Data Analysis;Gomez-Vazquez, Marcos and Cabot, Jordi and Clarisó, Robert;2024;Proceedings of the 6th ACM Conference on Conversational User Interfaces (CUI);conferencia;10.1145/3640794.3665577;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Geração automática de interfaces conversacionais para análise de dados tabulares (Espanha/Luxemburgo). Vertente engenharia. GPT-4.
R035;AI Chatbot Implementation on Government Websites: A Framework for Development, User Engagement, and Security for DHS Website;Ingole, Balaji Shesharao and Ramineni, Vishnu and Jayaram, Vivekananda and Pandy, Gokul and Krishnappa, Manjunatha Sughaturu and Parlapalli, Vidyasagar and Mullankandy, Sreeram and Banarse, Amey Ram;2024;2024 International Conference on Intelligent Cybernetics Technology and Applications (ICICyTA);conferencia;10.1109/ICICYTA64807.2024.10912857;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Chatbot em sites governamentais, com framework de desenvolvimento, engajamento e segurança (EUA/DHS). Vertente engenharia.
R036;TOPIC MODELLING OF OPEN GOVERNMENT DATA IMPACT AREAS USING GPT 3.5 MODEL;Ferencek, Aljaž and Borštnar, Mirjana Kljajić;2023;não disponível no registro consolidado (relato não recuperado);não disponível;não identificado;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo e DOI não identificados nas fontes do projeto. Não é exclusão por critério de conteúdo. Modelagem de tópicos de áreas de impacto de OGD com GPT-3.5 (Eslovênia/Europa).
R037;A Chatbot for Searching and Exploring Open Data: Implementation and Evaluation in E-Government;Cantador, Iván and Viejo-Tardío, Jesús and Cortés-Cediel, María E. and Rodríguez Bolívar, Manuel Pedro;2021;Proceedings of the 22nd Annual International Conference on Digital Government Research (DG.O);conferencia;10.1145/3463677.3463681;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Chatbot para busca e exploração de dados abertos (Espanha, Madri). Vertente engenharia/pipeline. Antecessor de R017.
R038;A CLOUD-BASED ARCHITECTURE FOR AUTOMATED DATA EXTRACTION AND INTEGRATION FROM MULTIPLE GOVERNMENT SOURCES;Dineva, Kristina and Atanasova, Tatiana;2025;International Multidisciplinary Scientific GeoConference SGEM;conferencia;10.5593/sgem2025v/4.2/s21.96.1;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Arquitetura em nuvem para extração e integração automatizada de dados de múltiplas fontes governamentais (Bulgária/Europa). Modelo não reportado. QA 2,0 (abaixo do limiar).
R039;An Ai Powered Information Assistant for Government Schemes - Development and Comparative Analysis;Nagesh, H.R. and Ravinarayana, B. and Rai, Prakhyath;2025;2025 IEEE International Conference on Emerging Trends in Computing and Communication (ETCOM);conferencia;10.1109/ETCOM66606.2025.11436972;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Assistente de informação sobre esquemas/programas governamentais, com análise comparativa (Índia). Vertente engenharia. Modelo não reportado (RAG).
R040;“Hey Google, How Do I File My Taxes?”: Evaluating Conversational Interfaces for Newcomers Navigating Government Services;Farah, Deqa Abdirahman and Sin, Jaisie;2025;Proceedings of the 2025 Conference on Conversational User Interfaces (CUI);conferencia;10.1145/3719160.3737642;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Interfaces conversacionais para recém-chegados navegarem serviços governamentais (Canadá). Vertente ética/inclusão. Comparação de 3 LLMs proprietários (ChatGPT/Gemini/Copilot).
R041;Evaluating Large Language Models in Interaction with Open Government Data;Maslaris, Ioannis and Karamanou, Areti and Kalampokis, Evangelos and Tarabanis, Konstantinos;2025;Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics (PCI);conferencia;10.1145/3716554.3716558;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Avaliação de LLMs em interação com OGD (statistics.gov.scot, modelos abertos quantizados). Vertente engenharia.
R042;Expert Multi-Agent Conversational System Using Retrieval-Augmented Generation and Dynamic Text-to-SQL for Government Transparency;Flores, Nahum and Ramirez, Carlos and Mauricio, David;2025;IEEE Access;periodico;10.1109/ACCESS.2025.3635530;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Sistema multi-agente RAG + text-to-SQL para transparência governamental (Peru). Vertentes engenharia/IA+Direito/IS. GPT-4o. RAGAS Faithfulness 0,942.
R043;WCAG Compliance of Open Government Documents;Slager, Gregory and Marx, Maarten;2026;Communications in Computer and Information Science;conferencia;10.1007/978-3-032-06136-2_17;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;nao_recuperado;CI5 (texto completo inacessível);sim;Relato não recuperado (reports not retrieved, PRISMA 2020): texto completo inacessível. Não é exclusão por critério de conteúdo. Conformidade WCAG de documentos governamentais abertos (Países Baixos). Vertente ética/acessibilidade.
R044;A Pilot Study of Robot Storytelling for Civic Data Literacy;Korpan, Raj and Ahmar, Khadeja and Jinnat, Raitah A. and Yee, Jackie;2026;Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction (HRI Companion);conferencia;10.1145/3776734.3794475;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Estudo-piloto de robô contador de histórias para literacia de dados cívicos (EUA, NYC, DSR, N=6). Vertente DSR/ética. Caso-limite.
R045;Leveraging Knowledge Graphs and LLMs to Support and Monitor Legislative Systems;Colombo, Andrea;2024;Proceedings of the 33rd ACM International Conference on Information and Knowledge Management (CIKM);conferencia;10.1145/3627673.3680268;Rayyan (multi-base internacional — base específica não preservada no registro consolidado);texto_completo;incluido;CI1-CI5;sim;Incluído no corpus de síntese. Grafos de conhecimento e LLMs para apoio e monitoramento de sistemas legislativos (Itália). Vertente IA+Direito. Caso-limite (anti-alucinação KG+LLM).
